CNT: Country code 3-character,STRATUM: Stratum ID 7-character (cnt + region ID + original stratum ID),WEALTH: Wealth - mean (region),WEALTH: Wealth - median (region),WEALTH: Wealth Inequality (region),"ESCS: Index of economic, social and cultural status (region)",ST57Q01: Out-of-School Study Time - Homework - mean (region),ST69Q01: Min in <class period> - <test lang> - mean (region),ST69Q02: Min in <class period> - <Maths> - mean (region),ST69Q03: Min in <class period> - <Science> - mean (region),IC05Q01: Internet at School - mean (region),IC06Q01: Internet out-of-school - Weekday - mean (region),IC07Q01: Internet out-of-school - Weekend - mean (region),ATSCHL: Attitude towards School: Learning Outcomes - mean (region),ICTRES: ICT resources - mean (region),INSTMOT: Instrumental Motivation for Mathematics - mean (region),INTMAT: Mathematics Interest - mean (region),LMINS: Learning time (minutes per week) - <test language> - mean (region),MMINS: Learning time (minutes per week) - <Mathematics> - mean (region),SMINS: Learning time (minutes per week) - <Science> - mean (region),MATWKETH: Mathematics Work Ethic - mean (region),PERSEV: Perseverance - mean (region),PARED: Highest parental education in years - mean (region),OUTHOURS: Out-of-School Study Time - mean (region),OPENPS: Openness for Problem Solving - mean (region),TCHBEHSO: Teacher Behaviour: Student Orientation - mean (region),TCHBEHTD: Teacher Behaviour: Teacher-directed Instruction - mean (region),TEACHSUP: Teacher Support - mean (region),Math (region),Math.ChangeRel (region),Math.Quantity (region),Math.SpaceShape (region),Math.UncData (region),Mean.Employ (region),Math.Formulate (region),Math.Interpret (region),Reading (region),Science (region),WEALTH: Wealth - mean (region) - scaled,WEALTH: Wealth - median (region) - scaled,WEALTH: Wealth Inequality (region) - scaled,"ESCS: Index of economic, social and cultural status (region) - scaled",ST57Q01: Out-of-School Study Time - Homework - mean (region) - scaled,ST69Q01: Min in <class period> - <test lang> - mean (region) - scaled,ST69Q02: Min in <class period> - <Maths> - mean (region) - scaled,ST69Q03: Min in <class period> - <Science> - mean (region) - scaled,IC05Q01: Internet at School - mean (region) - scaled,IC06Q01: Internet out-of-school - Weekday - mean (region) - scaled,IC07Q01: Internet out-of-school - Weekend - mean (region) - scaled,ATSCHL: Attitude towards School: Learning Outcomes - mean (region) - scaled,ICTRES: ICT resources - mean (region) - scaled,INSTMOT: Instrumental Motivation for Mathematics - mean (region) - scaled,INTMAT: Mathematics Interest - mean (region) - scaled,LMINS: Learning time (minutes per week) - <test language> - mean (region) - scaled,MMINS: Learning time (minutes per week) - <Mathematics> - mean (region) - scaled,SMINS: Learning time (minutes per week) - <Science> - mean (region) - scaled,MATWKETH: Mathematics Work Ethic - mean (region) - scaled,PERSEV: Perseverance - mean (region) - scaled,PARED: Highest parental education in years - mean (region) - scaled,OUTHOURS: Out-of-School Study Time - mean (region) - scaled,OPENPS: Openness for Problem Solving - mean (region) - scaled,TCHBEHSO: Teacher Behaviour: Student Orientation - mean (region) - scaled,TCHBEHTD: Teacher Behaviour: Teacher-directed Instruction - mean (region) - scaled,TEACHSUP: Teacher Support - mean (region) - scaled,Math (region) - scaled,Math.ChangeRel (region) - scaled,Math.Quantity (region) - scaled,Math.SpaceShape (region) - scaled,Math.UncData (region) - scaled,Mean.Employ (region) - scaled,Math.Formulate (region) - scaled,Math.Interpret (region) - scaled,Reading (region) - scaled,Science (region) - scaled
Albania,ALB0011,-1.37519756838906,-1.39,-0.0612656004007566,,5.27717391304348,45.0537634408602,44.9726775956284,45.0765027322404,99,99,99,0.484973821989529,-1.74575384615385,0.629481865284974,1.04341968911917,170.028248587571,164.942857142857,152.795321637427,0.824914361702128,0.653368648648649,11.3333333333333,19.4504504504505,0.561111413043478,1.07298691099476,1.15139738219895,0.7040625,389,384.22,388.55,406.12,374.98,391.39,388.69,373.38,389.81,394.23,-0.075886472868961,-0.0456310679611651,0.059064708777217,,-0.226943266493803,-0.408344532882586,-0.409327289156844,-0.343151985662959,0.5,0.5,0.5,-0.065159447881961,-0.152708993598489,0.151354579050807,0.286467879977485,-0.351020118239736,-0.361216931216931,-0.28960287984137,0.278841062759988,0.0842502131099507,0.0502645502645503,-0.00965250965250963,0.278838388354751,0.206945897787821,0.315913859931239,0.147087969401947,-0.203686271153805,-0.080609345916468,-0.191386998357193,-0.211155581874987,-0.21949106165633,-0.211845533705988,-0.211451304260248,-0.234550290135397,-0.142227845728478,-0.216016899840615
Albania,ALB0012,-1.90354838709677,-2.05,-0.0737957687557273,,6.91666666666667,45.0714285714286,45.2142857142857,45,99,99,99,0.680714285714286,-2.41225806451613,0.4345,0.897,241.363636363636,212.727272727273,204.545454545455,0.279161904761905,0.469235,8.49019607843137,35.6551724137931,0.34578,0.9497,1.16744615384615,0.707692307692308,422.68,400.06,418.98,459.54,401.37,416.66,437.91,397.82,406.65,424.3,-0.173067708439152,-0.17378640776699,-0.0311162964937485,,-0.14211101664035,-0.408130432408552,-0.40639901118375,-0.344342805728425,0.5,0.5,0.5,-0.00584415584415582,-0.31637987941733,0.0805807622504537,0.245682451253482,-0.240636539475998,-0.272727272727273,-0.183953359480677,0.179418112796383,0.0366076741959688,-0.175381263616558,0.3988698927847,0.209637818555773,0.165513337346212,0.322976585096357,0.148400556328234,-0.131629618536189,-0.0547464324200765,-0.119971837596808,-0.102070613220069,-0.159316855162349,-0.15556867024475,-0.112307382415147,-0.175459381044487,-0.102769576831154,-0.139942317909277
Argentina,ARG0001,-0.831687932920161,-0.86,-0.0498486287834041,-0.678424531766434,3.49128268991283,118.11119873817,117.79128248114,99.2437379576108,97,97,97,0.022093553907587,-0.687967032967033,0.0779126488939308,0.0818243626062323,274.558462796402,278.170305676856,219.443882709808,-0.0134588844163312,0.00288208260616639,12.6782740348221,9.31111111111111,-0.191793155452436,0.397173589164786,0.278696966292135,0.383020022246941,392.27,382.75,395.06,388.25,394.94,390.8,384.34,395.96,403.01,410.13,0.0240829717670108,0.0572815533980582,0.141233914204891,0.0952125812002357,-0.319350610238933,0.47710782584085,0.473230457257779,0.5,0.479591836734694,0.479591836734694,0.479529170931423,-0.20542619578558,0.107047659025831,-0.0488520330693536,0.0186140285811233,-0.189271237452376,-0.151536470968785,-0.153537750838868,0.126109654518631,-0.0840559697259525,0.157005875779532,-0.265266106442577,0.0368791479087199,-0.0201720993948169,-0.0681431460832388,0.0309947229265712,-0.196690271924007,-0.0830095026613983,-0.176108894625675,-0.247646566335178,-0.173978475009121,-0.213159477095072,-0.22021351596334,-0.179956479690522,-0.11129856131965,-0.175791231310244
Argentina,ARG0003,-1.10443514644351,-1.18,-0.0598472423036509,-0.816511627906977,3.37078651685393,83.4792626728111,89.8724489795919,78.1034482758621,97.0583333333333,97.0583333333333,97.0583333333333,-0.0201597444089457,-0.983454157782516,0.405719178082192,0.476421404682274,187.281553398058,226.810810810811,197.815789473684,0.286330375426621,0.158667123287671,12.324034334764,9.96896551724138,0.0911616724738676,0.488697087378641,0.315769453376206,0.35471875,367.57,353.75,374.33,372.2,364.07,364.9,372.03,364.94,372.06,385.98,-0.0260842850442052,-0.00485436893203889,0.0692727886216084,0.0656002799441774,-0.325585441979865,0.0573705417240522,0.13485563098376,0.170936182205066,0.480187074829932,0.480187074829932,0.480126236779256,-0.218230225578468,0.0344860185527247,0.070134002933645,0.128529639187263,-0.324322547933372,-0.246646646646647,-0.197692181915863,0.180724035456282,-0.0437483186401534,0.128891613870155,-0.24868154158215,0.127811701794475,0.0105858524508099,-0.0518283281508741,0.0207606050069541,-0.249534669776,-0.130359533683832,-0.224759446139404,-0.280421065528578,-0.244367931411893,-0.270839364853128,-0.24500956793232,-0.254956479690522,-0.183818360747926,-0.236888708983733
Argentina,ARG0004,-1.27548644338118,-1.18,-0.0639275849564547,-1.01919871794872,3.95530726256983,91.2369337979094,89.5970695970696,85.6410256410256,97.0732484076433,97.0732484076433,97.0732484076433,0.223913043478261,-1.08230145867099,0.465246305418719,0.62,246.875,250.133079847909,227.384615384615,0.220774937343358,0.115880506329114,11.7014681892333,11.8216216216216,-0.105385606060606,0.623789423076923,0.439427033492823,0.451778846153846,375.38,366.62,377.29,371.45,371.78,377.79,367.78,370.74,382.3,400.05,-0.0575462905786032,-0.00485436893203889,0.0399061119852266,0.0221347329178203,-0.295340593482965,0.151393116811244,0.131518047029357,0.288263996631695,0.480339269465748,0.480339269465748,0.480278898747629,-0.144268774703557,0.0102124658106714,0.0917409457055243,0.168523676880223,-0.2321083172147,-0.20345725954091,-0.137326495886212,0.168781413929782,-0.0548188811278135,0.0794816023201014,-0.201975925505337,0.0646477468712904,0.0559858168010797,0.00259075900085504,0.0558588317107093,-0.232825570698102,-0.109345916468014,-0.217812720018775,-0.281952584182475,-0.226787668734039,-0.242133042335701,-0.253570349481317,-0.240933268858801,-0.159824734055017,-0.201292787208743
Argentina,ARG0005,-0.998872549019608,-0.95,-0.0475556550067912,-0.911506172839506,3.84210526315789,96.510989010989,95.8787878787879,85,97,97,97,0.0402352941176471,-0.674638403990025,0.339115384615385,0.297946768060837,238.988439306358,235.129032258065,193.16265060241,0.259654545454545,0.0865273469387755,12.0378590078329,10.4388185654008,-0.086404048582996,0.530188416988417,0.269960305343512,0.247918215613383,370.23,362.5,371.55,359.06,373.67,366.26,370.73,369.81,360.2,381.93,-0.00666782294285845,0.0398058252427185,0.157736699672485,0.0452290275907988,-0.301198002902312,0.215314394768163,0.207652149557706,0.278285971357877,0.479591836734694,0.479591836734694,0.479529170931423,-0.199928698752228,0.110320719347607,0.0459583973195589,0.0788152557272526,-0.244311892756119,-0.231242532855436,-0.207191710946939,0.175864341881248,-0.0624136854928264,0.106179286335944,-0.236836506754601,0.0707478071205464,0.0245296848332497,-0.0719879658923429,-0.0178598942149102,-0.243843734622708,-0.116072886392581,-0.231283736212157,-0.307253272344857,-0.222478110178767,-0.267810613990157,-0.247628159935542,-0.243181818181818,-0.211607854163738,-0.247134869835808
Argentina,ARG0006,-0.737428571428572,-0.72,-0.0482388640848584,-0.485571428571429,4.02380952380952,94.4117647058824,94.4117647058824,85,97,97.006993006993,97,0.0168108108108108,-0.304657039711191,0.0829775280898877,0.0796067415730337,257.840909090909,283.01724137931,230.3125,-0.0823636363636364,-0.063685393258427,13.0147058823529,10.44,-0.249379329608939,0.306670810810811,0.109377297297297,0.180744680851064,394.09,386.44,392.94,399.56,387.78,390.14,399.75,390.92,393.2,407.07,0.0414203939673108,0.0844660194174757,0.15281956849556,0.136569263682456,-0.291796081969773,0.189871904145793,0.189871904145793,0.278285971357877,0.479591836734694,0.479663193948908,0.479529170931423,-0.207027027027027,0.201175624627538,-0.0470136014192785,0.0179963068448562,-0.215139792509232,-0.142560664112388,-0.131349127560674,0.113556868694229,-0.101279565644241,0.183706816059757,-0.236806722689076,0.0183728092010995,-0.0505870218227447,-0.14265715335107,-0.0421507412777795,-0.192796474187544,-0.0769846194037162,-0.181084252522882,-0.224551265034408,-0.190304633345494,-0.21462931207269,-0.189173129217444,-0.192142166344294,-0.134284643141666,-0.183532775065145
Argentina,ARG0102,-0.565150829562594,-0.62,-0.0599540770171636,-0.206856925418569,3.93644617380026,94.3438077634011,93.39,87.5375939849624,97,97,97,0.0896642685851319,-0.338881330309902,-0.0451285046728972,-0.0286682242990654,299.446601941748,327.76617954071,242.26814516129,-0.139547619047619,0.12416140776699,13.7684824902724,9.51358024691358,-0.0469144768856448,0.123435579196217,0.0194243243243243,0.205046296296296,417.96,408.07,426.07,412.65,410.97,419.44,409.83,415.27,429.29,424.62,0.0731079833926994,0.103883495145631,0.0685038873914351,0.196338627094913,-0.29631652252655,0.1890482694977,0.177488168456166,0.317785447347844,0.479591836734694,0.479591836734694,0.479529170931423,-0.184950221640869,0.192771296786109,-0.0935130688467866,-0.012163850779684,-0.150759610148166,-0.0596922601097967,-0.106941302770391,0.10313932466523,-0.0526762897443685,0.243530356370823,-0.260161842514784,0.0834384815741733,-0.112166184993004,-0.182243555342415,-0.0333629526605883,-0.141727819259323,-0.0416680272997421,-0.103332551044356,-0.197821159461722,-0.137427033929223,-0.149377547157206,-0.168868969684762,-0.133268858800774,-0.0497211678147991,-0.13913274470615
Australia,AUS0101,0.86421052631579,0.72,-0.0417474928907932,0.570765550239235,5.7007299270073,54.514705882353,54.6277372262774,54.6102941176471,4.13397129186603,5.51674641148325,6.30143540669856,0.425149253731343,0.687799043062201,0.488057553956835,0.215107913669065,203.961240310078,205.738461538462,204.53125,0.178013475177305,0.162979432624114,13.5582524271845,9.00724637681159,0.0420728571428571,-0.047064705882353,0.0118088235294118,0.333970588235294,510.78,513.95,508.92,494.41,521.93,510.39,505.85,523.08,542.53,537.18,0.336014934081817,0.364077669902913,0.199538683776686,0.363097083578234,-0.205027213785363,-0.293678397033785,-0.292308462958214,-0.194751663880668,-0.468020701103408,-0.453910750903232,-0.448808235345972,-0.083288104929896,0.444889260233556,0.100020890728434,0.0557403659245306,-0.298512587527926,-0.285669515669516,-0.183982358505991,0.160991305687041,-0.0426325564376535,0.226845430728926,-0.272926561929119,0.112036140097971,-0.16946556340901,-0.185594976266806,0.01325779268592,0.0568558653002716,0.131208568722855,0.0911053743252758,-0.0308652059382083,0.115582816490332,0.0531701668039998,0.0245442642763623,0.127393617021277,0.215614602371245,0.145634629493764
Australia,AUS0102,0.611047227926078,0.43,-0.0471628217310595,0.485302713987474,6.03921568627451,57.5649350649351,57.8187702265372,57.8349834983498,7.84431137724551,9.55089820359281,10.1457085828343,-0.114121405750799,0.526358024691358,0.144272727272727,0.130636363636364,222,223.716666666667,229.137809187279,-0.127775683890578,0.133026443768997,13.5626326963907,9.69426751592357,0.0871935975609756,0.37699873015873,0.0220714285714286,0.263248407643312,499.95,502.94,495.03,496.55,505.79,493.1,496.01,515.34,495.11,511.02,0.289449808662475,0.307766990291262,0.160563964135801,0.344769873259403,-0.187512950036081,-0.256709776203157,-0.253633307098364,-0.144557053740914,-0.430160087987291,-0.412745936698033,-0.409460505805176,-0.246703456288121,0.405244808246173,-0.0247648902821316,0.0322106862496835,-0.270599613152805,-0.252376543209877,-0.133747295719133,0.105283887653833,-0.0503825600225111,0.227193071142116,-0.255606701279238,0.126536490523179,-0.0269521870653144,-0.181078620717404,-0.0123162920900401,0.0336856293190133,0.113231884531235,0.0585073926308378,-0.0264952727124216,0.0787805545421381,0.0146649444357839,0.00472353711350593,0.108679883945841,0.104503491260134,0.0794520201381334
